Date,Date.Regular.Freq,ffr_shock,fw_shock,lsap_shock,lsap_shock2,exchange.rate.open,exchange.rate.close,log.diff.exchange.rate,bmv.ipc.volume,bmv.ipc.open,bmv.ipc.close,log.diff.bmv.ipc,naftrac_open,naftrac_close,log.diff.naftrac,dcetes28,dcetes91,dcetes182,dcetes364
2004-03-16,2012-04-01,0.3326,-1.771,0.1513,-0.1513,11.03,11.04,9.062075835379879e-4,85004000,9794.1298828125,9877.2900390625,0.008454971932112088,9.75,9.81,0.006134988567515709,-0.11214100000000027,-0.11470100000000016,0.05195300000000014,0.01005300000000009
2004-05-04,2012-05-01,-0.0093,0.5609,-0.075,0.075,11.41,11.405,-4.383081376331255e-4,86749200,10191.759765625,10333.169921875,0.013779574004555428,10.19,10.32,0.012676912818783581,0.07964799999999972,0.27766800000000025,0.2450260000000002,0.261355
2004-06-30,2012-06-01,-0.0468,-0.0481,-0.3709,0.3709,11.533,11.513,-0.0017356595522746154,72581600,10137.419921875,10281.8203125,0.014143797339988495,10.23,10.34,0.010695289116747997,-0.02152900000000013,-0.07401699999999956,-0.1852999999999998,-0.20015800000000006
2004-08-10,2012-07-01,0.3594,0.7461,0.1665,-0.1665,11.385,11.4175,0.002850566561314327,67198000,9814.4404296875,9910.83984375,0.009774277495360195,9.93,9.98,0.005022612266291748,0.028874000000000066,0.06061100000000064,0.04144099999999984,0.033277
2004-09-21,2012-08-01,0.1499,-0.2519,0.2136,-0.2136,11.43,11.4125,-0.0015322318856325623,117452200,10802.830078125,10850.3603515625,0.00439014748712907,10.84,10.83,-9.22934998600855e-4,-0.0014500000000001734,0.019118999999999886,0.08464700000000036,-0.07129499999999922
2004-11-10,2012-09-01,0.1976,-0.6317,0.0502,-0.0502,11.434,11.422,-0.0010500525991083975,79164200,11791.76953125,11794.01953125,1.9079285419465464e-4,11.73,11.79,0.005102051883895342,-0.05228800000000078,0.07083499999999887,0.019530999999998855,0.021129999999999427
2004-12-14,2012-10-01,0.0635,-0.1725,0.0747,-0.0747,11.2975,11.282,-0.0013729269855131676,73106200,12290.33984375,12430.8603515625,0.011368543610279502,12.28,12.45,0.013748700191720253,0.03837899999999905,-0.02303500000000014,-0.1327739999999995,-0.08462800000000037
2005-02-02,2012-11-01,0.0371,-0.1468,0.196,-0.196,11.1595,11.1625,2.6879312051475424e-4,140109400,13340.51953125,13339.41015625,-8.316176344003168e-5,13.31,13.35,0.0030007524392381413,0.0382169999999995,0.01850599999999858,0.019408999999999565,0.04513999999999996
2005-03-22,2012-12-01,0.1106,2.0778,-0.6014,0.6014,11.183,11.192,8.04469317128742e-4,40958400,13094.5302734375,13062.4501953125,-0.00245288971698443,13.05,13.06,7.65990079582668e-4,-0.019997000000000043,0.010241999999999862,0.022202999999999307,0.013315999999999661
2005-05-03,2013-01-01,0.05,0.6959,0.2637,-0.2637,11.026,11.0285,2.2671110301386577e-4,152339200,12422.919921875,12357.8798828125,-0.0052492404539545845,12.42,12.35,-0.005652013431346692,0.0884740000000015,-0.0867470000000008,-0.013917000000001067,-0.026669000000000054
